AssetID,Desc,DeprYTD,cCode,eCode,ceCode,odooAssetAcctNo,odooExpAcctNo
325,Computers - Rhonda & Carla,0.0,5,906,5000,15500,70600
326,Network Switch,0.0,5,906,5000,15500,70600
328,Carla's Laptop at the Lake,0.0,5,906,5000,15500,70600
329,5 Computers,0.0,5,906,5000,15500,70600
332,Dave Richardson Computer,0.0,5,906,5000,15500,70600
333,Engineering PC,0.0,5,906,5000,15500,70600
334,Network Infrastructure Device,0.0,5,906,5000,15500,70600
335,36 Memory Module for 3 Servers,0.0,5,906,5000,15500,70600
337,Dell 3333 Laser Printer,0.0,5,906,5000,15500,70600
338,Jen Passarelli Lap Top,0.0,5,906,5000,15500,70600
340,Email Server Software,0.0,5,906,5000,15500,70700
341,Forklift,0.0,3,0,3000,15300,61900
345,Portable Coordinant Measuring,0.0,3,1,3000,15300,50110
352,File Server,0.0,5,906,5000,15500,70600
353,Engineering PC,0.0,5,906,5000,15500,70600
354,PDF Server,0.0,5,906,5000,15500,70600
355,Buckner Computer,0.0,5,906,5000,15500,70600
356,Labview Software - Audia,0.0,5,906,5000,15500,70700
357,General Furniture - New Butler,0.0,6,900,6000,15600,61900
358,Executive Office Furniture (Dave & Carla) - New Butler,0.0,6,900,6000,15600,61900
359,Electric Range - New Butler,0.0,6,900,6000,15600,61900
360,Refrig - New Butler,0.0,6,900,6000,15600,61900
361,2 TV's Conference room tv's  - New Butler,0.0,6,900,6000,15600,61900
362,"SAMSUNG 60"" TV DJR OFFICE - MORAVIA",0.0,6,900,6000,15600,61900
363,"""AIR CONDITIONING SYSTEM PUT IN I.T. ROOM - MORAVIA",0.0,6,900,6000,15600,61900
370,"Wiring for lighting, data, & power in new office",0.0,2,0,2000,15200,61900
375,Wiring of Data and Phone Lines,0.0,2,0,2000,15200,61900
376,Final Electrical work,0.0,2,0,2000,15200,61900
378,Network Device Switch,0.0,5,906,5000,15500,70600
379,SAN server,0.0,5,906,5000,15500,70600
382,Qtech pc,0.0,5,906,5000,15500,70600
383,Milling Guy - New PC,0.0,5,906,5000,15500,70600
384,PC for Robotic Welder,0.0,5,906,5000,15500,70600
385,Dave Richardson PC - New Butler,0.0,5,906,5000,15500,70600
386,Carla  PC - New Butler,0.0,5,906,5000,15500,70600
387,New eng PC,0.0,5,906,5000,15500,70600
388,JIM PYER - LAPTOP,0.0,5,906,5000,15500,70600
389,LAPTOP - Brian Eng,0.0,5,906,5000,15500,70600
391,Software Scott 13 - AutoCAD LT 2012,0.0,5,906,5000,15500,70700
394,SOFTWARE FOR PROGRAMMING TEST MACHINES,0.0,5,906,5000,15500,70700
395,Scissor Lift,0.0,3,0,3000,15300,61900
396,Leonard Model Tubemaster Flaring & Bending Machine,0.0,3,1,3000,15300,50110
397,MIG Welders,0.0,3,1,3000,15300,50110
398,Flaring tool for tube bender,0.0,3,1,3000,15300,50110
399,crane 1000#cap 15' span - edney,0.0,3,1,3000,15300,50110
